Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
8675172	Toward Edge-Assisted Internet of Things: From Security and Efficiency Perspectives	2019	https://ieeexplore.ieee.org/abstract/document/8675172	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
8485850	Accelerating Mobile Applications at the Network Edge with Software-Programmable FPGAs	2018	https://ieeexplore.ieee.org/abstract/document/8485850	Não	Aferição	Não	OBject, Face, Digit (ambos para comparação), Neten (Linux), Powertop, Xilinx SDSoC	ImageTools	Não	1. Huawei Mate 9 com ARM Cortex A73, 2.4 GHz, 4 cores, 6 GB RAM, 128 GB Flash, 802.11a/b/g/n/ac WiFi	Híbrido	Tempo
8094149	Collaborative cache allocation and computation offloading in mobile edge computing	2017	https://ieeexplore.ieee.org/abstract/document/8094149	Sim (Short Paper)	-	-	-	-	-	-	-	-
8538612	Energy-efficient Offloading Policy for Resource Allocation in Distributed Mobile Edge Computing	2018	https://ieeexplore.ieee.org/abstract/document/8538612	Não	Simulação	Não	Não Detalha	Math	Não	Não Detalha	MEC	Energia
8955867	Joint Optimization of Computation Offloading and Task Scheduling in Vehicular Edge Computing Networks	2020	https://ieeexplore.ieee.org/abstract/document/8955867	Sim (Não Foca em MCC)	-	-	-	-	-	-	-	-
7543853	A novel energy efficient platform based model to enable mobile Cloud applications	2016	https://ieeexplore.ieee.org/abstract/document/7543853	Não	Aferição	Não	CloudSim	Não Detalha	Não	40 (não detalha)	MCC	Enrgia
8819989	Energy-Latency Aware Offloading for Hierarchical Mobile Edge Computing	2019	https://ieeexplore.ieee.org/abstract/document/8819989	Não	Aferição	Não	Local processing (LP), Edge clouds only (ECO), Nash-overall (todos são algoritmos usados para comparação)	Math	Não	Não Detalha	MEC	Tempo e Energia
8766802	SMCACC: Developing an Efficient Dynamic Secure Framework for Mobile Capabilities Augmentation Using Cloud Computing	2019	https://ieeexplore.ieee.org/abstract/document/8766802	Não	Aferição	Não	Fingerprint Application, GPS Calculation, Address Book, Car Store	Não Detalha	Não	Não Detalha	MCC	Tempo e Energia
7636891	Pricing policy and computational resource provisioning for delay-aware mobile edge computing	2016	https://ieeexplore.ieee.org/abstract/document/7636891	Não	Aferição	Não	Não Detalha		Não	Não Detalha	Híbrido	Tempo e Energia
7996858	Tasks scheduling and resource allocation in heterogeneous cloud for delay-bounded mobile edge computing	2017	https://ieeexplore.ieee.org/abstract/document/7996858	Sim (Não Foca em MCC)	-	-	-	-	-	-	-	-
